time,job,job_counting,city
2018-09,AI,10,Hồ Chí Minh
2018-12,AI,2,Hồ Chí Minh
2019-01,AI,6,Hồ Chí Minh
2019-03,AI,6,Hồ Chí Minh
2019-04,AI,6,Hồ Chí Minh
2019-05,AI,7,Hồ Chí Minh
2019-06,AI,13,Hồ Chí Minh
2019-07,AI,10,Hồ Chí Minh
2019-08,AI,4,Hồ Chí Minh
2019-09,AI,2,Hồ Chí Minh
2019-10,AI,6,Hồ Chí Minh
2019-11,AI,5,Hồ Chí Minh
2019-12,AI,37,Hồ Chí Minh
2020-02,AI,2,Hồ Chí Minh
2020-03,AI,2,Hồ Chí Minh
2020-04,AI,9,Hồ Chí Minh
2020-06,AI,2,Hồ Chí Minh
2020-07,AI,1,Hồ Chí Minh
2020-08,AI,11,Hồ Chí Minh
2020-09,AI,2,Hồ Chí Minh
2020-10,AI,4,Hồ Chí Minh
2020-11,AI,4,Hồ Chí Minh
2020-12,AI,9,Hồ Chí Minh
2021-01,AI,4,Hồ Chí Minh
2021-03,AI,13,Hồ Chí Minh
2021-04,AI,12,Hồ Chí Minh
2021-05,AI,6,Hồ Chí Minh
2021-06,AI,2,Hồ Chí Minh
2021-07,AI,16,Hồ Chí Minh
2021-08,AI,10,Hồ Chí Minh
2021-09,AI,4,Hồ Chí Minh
2021-10,AI,6,Hồ Chí Minh
2021-11,AI,2,Hồ Chí Minh
2021-12,AI,7,Hồ Chí Minh
2022-01,AI,2,Hồ Chí Minh
2022-02,AI,9,Hồ Chí Minh
2022-03,AI,15,Hồ Chí Minh
2022-04,AI,9,Hồ Chí Minh
2022-05,AI,4,Hồ Chí Minh
2022-06,AI,4,Hồ Chí Minh
2022-07,AI,4,Hồ Chí Minh
2022-08,AI,22,Hồ Chí Minh
2022-09,AI,7,Hồ Chí Minh
2022-10,AI,4,Hồ Chí Minh
2022-11,AI,4,Hồ Chí Minh
2022-12,AI,6,Hồ Chí Minh
2018-05,AI,5,Đà Nẵng
2018-09,AI,10,Đà Nẵng
2018-12,AI,2,Đà Nẵng
2019-01,AI,6,Đà Nẵng
2019-03,AI,6,Đà Nẵng
2019-04,AI,7,Đà Nẵng
2019-05,AI,8,Đà Nẵng
2019-06,AI,12,Đà Nẵng
2019-07,AI,10,Đà Nẵng
2019-08,AI,5,Đà Nẵng
2019-09,AI,2,Đà Nẵng
2019-10,AI,7,Đà Nẵng
2019-11,AI,5,Đà Nẵng
2019-12,AI,32,Đà Nẵng
2020-02,AI,2,Đà Nẵng
2020-03,AI,2,Đà Nẵng
2020-04,AI,10,Đà Nẵng
